Sr.No,Laptop Name,Prices,Rating,Product Link
12,"HP 15 db1069AU 15.6-inch Laptop (3rd Gen Ryzen 3 3200U/4GB/1TB HDD/Windows 10/MS Office/Radeon Vega 3 Graphics), Jet Black","₹ 32,182.50",3.6 out of 5 stars,https://www.amazon.in/HP-db1069AU-15-6-inch-Windows-Graphics/dp/B083RD58F6/ref=sr_1_13?dchild=1&keywords=Laptops&qid=1616402112&sr=8-13
13,"HP Chromebook 14a-na0003TU 14-inch Thin & Light Touchscreen Laptop (Intel N4020/4GB/64GB SSD + 256GB Expandable/Chrome OS/1.46 kgs Light), Mineral Silver","₹ 31,496.00",3.5 out of 5 stars,https://www.amazon.in/HP-Chromebook-14a-na0003TU-Touchscreen-Expandable/dp/B08C5W6PL2/ref=sr_1_14?dchild=1&keywords=Laptops&qid=1616402112&sr=8-14
14,HP 245 G7 Laptop 2D8C6PA (AMD Ryzen 3-3300U/4GB Ram/ 1TB HDD/ 14.0 inch HD /Windows-10/AMD Radeon Vega 6 Graphics/ Dark Ash Silver/1.52Kg),"₹ 31,683.00",3.5 out of 5 stars,https://www.amazon.in/HP-2D8C6PA-3-3300U-Windows-10-Graphics/dp/B08KJ92N9V/ref=sr_1_15?dchild=1&keywords=Laptops&qid=1616402112&sr=8-15
15,HP Notebook PC 245 G7 14-inch Laptop ATHLON-3050U/4GB/1TB/Windows 10 Home/ 1 Year Warranty (21Z04PA),"₹ 29,999.00",3.8 out of 5 stars,https://www.amazon.in/HP-Notebook-245-G7-ATHLON-3050U/dp/B08TBVBKN5/ref=sr_1_16?dchild=1&keywords=Laptops&qid=1616402112&sr=8-16
16,"HP 15 Thin & Light 15.6-inch FHD Laptop (Ryzen 3 3250U/8GB/256GB SSD + 1TB HDD/Win 10 Home/MS Office/1.82 Kg/Natural Silver), 15s-gr0012AU","₹ 44,466.00",4.3 out of 5 stars,https://www.amazon.in/HP-15-6-inch-Laptop-Natural-15s-gr0012AU/dp/B08T6THSMQ/ref=sr_1_17?dchild=1&keywords=Laptops&qid=1616402112&sr=8-17
17,"Lenovo IdeaPad Slim 3 AMD Athlon Silver 3050U 15.6 inch HD Thin and Light Laptop (4GB/1TB HDD/Windows 10/MS Office 2019/Integrated AMD Radeon Graphics/Platinum Grey/1.85Kg), 81W100W9IN","₹ 33,190.00",2.5 out of 5 stars,https://www.amazon.in/Lenovo-Integrated-Graphics-Platinum-81W100W9IN/dp/B08JCP96XL/ref=sr_1_18?dchild=1&keywords=Laptops&qid=1616402112&sr=8-18
18,"ASUS VivoBook 15 (2020) Intel Core i3-1005G1 10th Gen, 15.6-inch FHD Thin and Light Laptop (4GB RAM/1TB HDD/Windows 10/Integrated Graphics/Slate Grey/1.8 Kg), X515JA-EJ301T","₹ 40,990.00",3.4 out of 5 stars,https://www.amazon.in/ASUS-i3-1005G1-15-6-inch-Integrated-X515JA-EJ301T/dp/B08PQVXSVK/ref=sr_1_19?dchild=1&keywords=Laptops&qid=1616402112&sr=8-19
19,"Lenovo Ideapad Slim 3 AMD Ryzen3 15.6"" FHD Thin & Light Laptop (4GB/1TB/Win10/MSO/Grey/1.85Kg)81W10052IN + Lenovo 15.6 inch Slim Everyday Backpack + Lenovo 300 Wired USB Mouse, GX30M39704","₹ 30,008.00",3.8 out of 5 stars,https://www.amazon.in/Lenovo-81W10052IN-Everyday-Backpack-GX30M39704/dp/B08Z9F6PCB/ref=sr_1_20?dchild=1&keywords=Laptops&qid=1616402112&sr=8-20
20,Lenovo IdeaPad Slim 5i 11th Gen Intel Core i5 15.6-inch FHD IPS Thin & Light Laptop (8GB/1TB HDD + 256GB SSD/Windows10/Office 2019/Fingerprint Reader/Graphite Grey/Aluminium Surface/1.66Kg) 82FG00BQIN,"₹ 92,290.00",3.9 out of 5 stars,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A09050021PRBCL6Q1HH30&url=%2FLenovo-15-6-inch-Windows10-Fingerprint-82FG00BQIN%2Fdp%2FB08P3LX5BQ%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3DLaptops%26qid%3D1616402112%26sr%3D8-21-spons%26psc%3D1&qualifier=1616402112&id=4894709955677711&widgetName=sp_btf
21,"Lenovo IdeaPad Flex 5i 11th Gen Intel Core i3 14-inch FHD IPS 2-in-1 Touchscreen Laptop (8GB/256GB SSD/Win 10/Office 2019/Lenovo Digital Pen Stylus/Fingerprint Reader/Graphite Grey/1.5Kg), 82HS008YIN","₹ 76,890.00",4.6 out of 5 stars,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0468549204D0CG7DMCBB&url=%2FLenovo-Touchscreen-Fingerprint-Graphite-82HS008YIN%2Fdp%2FB08W9WK8Q9%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3DLaptops%26qid%3D1616402112%26sr%3D8-22-spons%26psc%3D1&qualifier=1616402112&id=4894709955677711&widgetName=sp_btf
